iter	Passed	Remaining
982	94035	97386
983	94056	97214
984	94086	97050
985	94118	96889
986	94149	96727
987	94187	96573
988	94235	96429
989	94275	96277
990	94304	96114
991	94347	95966
992	94370	95797
993	94398	95634
994	94461	95506
995	94517	95372
996	94541	95206
997	94565	95039
998	94591	94875
999	94615	94710
1000	94640	94546
1001	94673	94389
1002	94693	94220
1003	94723	94062
1004	94745	93896
1005	94766	93729
1006	94797	93572
1007	94819	93407
1008	94844	93244
1009	94871	93084
1010	94904	92931
1011	94937	92777
1012	94960	92614
1013	94993	92461
1014	95027	92309
1015	95056	92153
1016	95085	91996
1017	95126	91852
1018	95147	91689
1019	95169	91526
1020	95187	91361
1021	95206	91196
1022	95224	91031
1023	95240	90865
1024	95258	90699
1025	95279	90539
1026	95315	90391
1027	95355	90248
1028	95389	90100
1029	95410	89940
1030	95433	89781
1031	95450	89617
1032	95467	89454
1033	95491	89298
1034	95512	89138
1035	95532	88979
1036	95562	88828
1037	95583	88670
1038	95606	88514
1039	95626	88355
1040	95642	88193
1041	95658	88031
1042	95672	87868
1043	95692	87710
1044	95721	87561
1045	95752	87414
1046	95777	87261
1047	95807	87114
1048	95829	86959
1049	95850	86804
1050	95870	86648
1051	95888	86491
1052	95912	86339
1053	95942	86192
1054	95969	86045
1055	95993	85893
1056	96028	85752
1057	96058	85607
1058	96073	85449
1059	96092	85294
1060	96111	85139
1061	96128	84984
1062	96146	84829
1063	96164	84675
1064	96188	84526
1065	96207	84373
1066	96224	84218
1067	96240	84063
1068	96257	83909
1069	96272	83754
1070	96293	83604
1071	96315	83455
1072	96363	83328
1073	96410	83202
1074	96430	83052
1075	96446	82899
1076	96461	82744
1077	96476	82591
1078	96491	82438
1079	96507	82286
1080	96525	82136
1081	96544	81987
1082	96561	81836
1083	96577	81684
1084	96604	81543
1085	96627	81398
1086	96647	81251
1087	96663	81101
1088	96680	80952
1089	96695	80801
1090	96713	80653
1091	96738	80512
1092	96762	80369
1093	96814	80250
1094	96832	80103
1095	96848	79955
1096	96863	79806
1097	96878	79657
1098	96894	79510
1099	96918	79368
